code	value_en	description_en	synonym	chrLocation	chrBand	tissueType	codesystem	description_code
A1CF	APOBEC1 complementation factor	Tumour TYPE: melanoma	29974,A1CF,ENSG00000148584,Q9NQ94	10:50806729-50859940	10q11.23	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=29974
ABI1	abl-interactor 1	Tumour TYPE: AML	10006,ABI1,ENSG00000136754,Q8IZP0,SSH3BP1	10:26748570-26860863	10p11.2	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=10006
ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	Tumour TYPE: CML, ALL, T-ALL	25,ABL,ABL1,ENSG00000097007,P00519	9:130835447-130885683	9q34.1	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=25
ABL2	c-abl oncogene 2, non-receptor tyrosine kinase	Tumour TYPE: AML	27,ABL2,ABLL,ENSG00000143322,P42684	1:179107718-179143044	1q24-q25	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=27
ACKR3	atypical chemokine receptor 3	Tumour TYPE: lipoma	A8K6J4,ACKR3,CMKOR1,CXCR7,ENSG00000144476,P25106,Q53RV4,Q8NE10,Q92938,Q92986	2:236580466-236581554	2q37.3	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=57007
ACSL3	acyl-CoA synthetase long-chain family member 3	Tumour TYPE: prostate	2181,ACSL3,ENSG00000123983,FACL3,O95573	2:222908773-222941654	2q36	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2181
ACSL6	acyl-CoA synthetase long-chain family member 6	Tumour TYPE: AML, AEL	23305,ACSL6,ENSG00000164398,FACL6,Q9UKU0	5:131954234-132011553	5q31.1	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=23305
ACVR1	activin A receptor, type I	Tumour TYPE: DIPG	90,ACVR1,ACVRLK2,ENSG00000115170,Q04771	2:157737531-157799493	2q23-q24	O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=90
ACVR2A	activin A receptor type 2A	Tumour TYPE: large intestine carcinoma, stomach carcinoma, pancreatic carcinoma, biliary tract, oesophagus	92,ACVR2,ACVR2A,ENSG00000121989,P27037	2:147845153-147927274	2q22.3-q23.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=92
AFF1	AF4/FMR2 family, member 1	Tumour TYPE: AL	4299,AFF1,ENSG00000172493,MLLT2,P51825,PBM1	4:87007409-87135702	4q21	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=4299
AFF3	AF4/FMR2 family, member 3	Tumour TYPE: ALL, T-ALL	3899,AFF3,ENSG00000144218,LAF4,P51826	2:99551474-100104454	2q11.2-q12	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3899
AFF4	AF4/FMR2 family, member 4	Tumour TYPE: ALL	27125,AFF4,ENSG00000072364,Q9UHB7	5:132881059-132937189	5q31	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=27125
AKAP9	A kinase (PRKA) anchor protein (yotiao) 9	Tumour TYPE: papillary thyroid	10142,AKAP350,AKAP450,AKAP9,CG-NAP,ENSG00000127914,HYPERION,KIAA0803,MU-RMS-40_16A,PRKA9,Q99996,YOTIAO	7:91941100-92110159	7q21-q22	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=10142
AKT1	v-akt murine thymoma viral oncogene homolog 1	Tumour TYPE: breast, colorectal, ovarian, NSCLC	207,AKT1,ENSG00000142208,P31749	14:104770341-104792643	14q32.32	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=207
AKT2	v-akt murine thymoma viral oncogene homolog 2	Tumour TYPE: ovarian, pancreatic	208,AKT2,ENSG00000105221,P31751	19:40233872-40265267	19q13.1-q13.2	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=208
AKT3	v-akt murine thymoma viral oncogene homolog 3	Tumour TYPE: GBM	10000,AKT3,ENSG00000117020,Q9Y243	1:243505249-243843170	1q43-q44	O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=10000
