id	gene	label	synonym	chrLocation	refSeqId	locusType	linkPubmed	linkEnsembl
HGNC:1530	CBARA1	calcium binding atopy-related autoantigen 1	CALC|EFHA3|FLJ12684	10q22.1	NM_006077	gene with protein product	9806765	ENSG00000107745
HGNC:21232	MRAP2	melanocortin 2 receptor accessory protein 2	bA51G5.2	6q14.3	NM_138409	gene with protein product	NA	ENSG00000135324
HGNC:23714	ZNF497	zinc finger protein 497	FLJ44773	19q13.43	NM_198458	gene with protein product	NA	ENSG00000174586
HGNC:26302	LONRF1	LON peptidase N-terminal domain and ring finger 1	RNF191|FLJ23749	8p23.1	NM_152271	gene with protein product	18253036	ENSG00000154359
HGNC:28521	FBXO43	F-box protein 43	Fbx43	8q22.3	NM_001029860	gene with protein product	NA	ENSG00000156509
HGNC:2333	CPZ	carboxypeptidase Z	NA	4p16.1	NM_001014447	gene with protein product	9099699	ENSG00000109625
HGNC:34642	TRNAA11	transfer RNA alanine 11 (anticodon UGC)	NA	6	NA	RNA, transfer	NA	NA
HGNC:36861	RPL7P13	ribosomal protein L7 pseudogene 13	NA	2p16.3	NG_010878	pseudogene	19123937	NA
HGNC:7704	NDUFB9	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9, 22kDa	B22|UQOR22|LYRM3	8q24.13	NM_005005	gene with protein product	8661098	ENSG00000147684
HGNC:32998	SNORD114-10	small nucleolar RNA, C/D box 114-10	14q(II-10)	14q32.31	NR_003203	RNA, small nucleolar	12045206	ENSG00000200279
HGNC:20507	HIST3H2A	histone cluster 3, H2a	MGC3165	1q42.13	NM_033445	gene with protein product	12408966	ENSG00000181218
HGNC:36814	RPL35AP21	ribosomal protein L35a pseudogene 21	NA	9	NG_010765	pseudogene	19123937	NA
HGNC:17883	DBF4B	DBF4 homolog B (S. cerevisiae)	FLJ13087|chifb|DRF1|ASKL1|ZDBF1B	17q21.31	NM_025104	gene with protein product	15668232	ENSG00000161692
HGNC:30004	SULT1A4	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 4	NA	16p11.2	NM_001017389	gene with protein product	15358107, 15752422	ENSG00000213648
HGNC:27333	CXorf24	chromosome X open reading frame 24	NA	Xp11.23	XR_078588	gene with protein product	12477932	ENSG00000196741
HGNC:11915	TNFRSF19	tumor necrosis factor receptor superfamily, member 19	TRADE|TAJ|TAJ-alpha|TROY	13q12.11-q12.3	NM_018647	gene with protein product	10764796, 10809768	ENSG00000127863
HGNC:35700	RPL7P29	ribosomal protein L7 pseudogene 29	NA	6q15	NG_010680	pseudogene	19123937	NA
HGNC:29265	KIAA1383	KIAA1383	NA	1q42.2	NM_019090	gene with protein product	10718198	ENSG00000212916
HGNC:13847	ZNF311	zinc finger protein 311	NA	6p21.33	NM_001010877	gene with protein product	NA	ENSG00000223687
HGNC:9678	PTPRO	protein tyrosine phosphatase, receptor type, O	GLEPP1|PTPU2|PTP-oc|PTP-U2	12p13-p12	NM_002848	gene with protein product	7519601, 7665166	ENSG00000151490
HGNC:3466	ESM1	endothelial cell-specific molecule 1	NA	5q11	NM_001135604	gene with protein product	8702785	ENSG00000164283
HGNC:21298	AACS	acetoacetyl-CoA synthetase	ACSF1|FLJ12389|SUR-5	12q24.31	NM_023928	gene with protein product	12623130, 17762044	ENSG00000081760
HGNC:25114	BOD1	biorientation of chromosomes in cell division 1	NA	5q35.2	NM_001159651	gene with protein product	12477932, 17938248	ENSG00000145919
HGNC:482	ANCR	Angelman syndrome chromosome region	NA	15q11-q12	NA	region	NA	NA
HGNC:26368	C8orf45	chromosome 8 open reading frame 45	FLJ25692	8q13.1	NM_001136160	gene with protein product	NA	ENSG00000178460
HGNC:7071	MHS2	malignant hyperthermia susceptibility 2	NA	17q11.2-q24	NA	phenotype only	1427885	NA
HGNC:28587	FAM110B	family with sequence similarity 110, member B	MGC39325	8q12.1	NM_147189	gene with protein product	8619474, 9110174, 17499476	ENSG00000169122
HGNC:8861	PF4	platelet factor 4	CXCL4|SCYB4	4q12-q21	NM_002619	gene with protein product	3622011	ENSG00000163737
HGNC:17279	PROL1	proline rich, lacrimal 1	PRL1|BPLP	4q13.3	NM_021225	gene with protein product	8670737	ENSG00000171199
HGNC:1023	BCYRN1P1	brain cytoplasmic RNA 1, pseudogene 1	BC200b	Xq27.1	NG_003040	RNA, pseudogene	8265590	NA
HGNC:33274	PALM3	paralemmin 3	NA	19p13.12	NM_001145028	gene with protein product	NA	NA
HGNC:5980	IL16	interleukin 16 (lymphocyte chemoattractant factor)	prIL-16|LCF|IL-16|HsT19289	15q26.3	NM_001172128	gene with protein product	9144227	ENSG00000172349
HGNC:8874	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	NA	10p15.1	NM_001145443	gene with protein product	9146922, 10072580	ENSG00000170525
HGNC:14920	TAS2R14	taste receptor, type 2, member 14	T2R14|TRB1	12p13	NM_023922	gene with protein product	10761934, 10766242	ENSG00000212127
HGNC:28957	KIAA0090	KIAA0090	NA	1p36.13	NM_015047	gene with protein product	NA	ENSG00000127463
HGNC:4601	GRN	granulin	PCDGF|PGRN	17q21.32	NM_002087	gene with protein product	1417868, 9826678	ENSG00000030582
HGNC:37330	VN1R16P	vomeronasal 1 receptor 16 pseudogene	NA	1q44	NG_015663	pseudogene	NA	NA
HGNC:35111	TRNAN36P	transfer RNA asparagine 36 (anticodon GUU) pseudogene	NA	1q21.2	NG_008592	RNA, pseudogene	NA	NA
HGNC:24519	TCTN3	tectonic family member 3	DKFZP564D116|TECT3	10q23.33	NM_001143973	gene with protein product	12975309	ENSG00000119977
HGNC:23581	TIMM23B	translocase of inner mitochondrial membrane 23 homolog B (yeast)	bA592B15.7	10q11.21-q11.23	XM_001715214	gene with protein product	NA	ENSG00000204152
HGNC:16133	TBC1D20	TBC1 domain family, member 20	dJ852M4.2	20p13	NM_144628	gene with protein product	NA	ENSG00000125875
HGNC:8394	OR7E22P	olfactory receptor, family 7, subfamily E, member 22 pseudogene	OR6DG|OR3.6	3p13	NG_004122	pseudogene	10036190	NA
HGNC:24500	KIAA1429	KIAA1429	fSAP121|DKFZP434I116	8q22.1	NM_015496	gene with protein product	10718198	ENSG00000164944
HGNC:8507	OSMR	oncostatin M receptor	OSMRB	5p13.2	NM_001168355	gene with protein product	8999038	ENSG00000145623
HGNC:22393	FAM5C	family with sequence similarity 5, member C	DBCCR1L|DBCCR1L1	1q31.1	NM_199051	gene with protein product	16018821	ENSG00000162670
HGNC:30760	TMEM165	transmembrane protein 165	TMPT27|TPARL	4q12	NM_018475	gene with protein product	3202867	ENSG00000134851
HGNC:20174	C12orf11	chromosome 12 open reading frame 11	NET48|FLJ10637	12p12.3	NM_018164	gene with protein product	12414650	ENSG00000064102
HGNC:33654	MIR708	microRNA 708	hsa-mir-708	11q14.1	NR_030598	RNA, micro	NA	ENSG00000211997
HGNC:19096	PSD4	pleckstrin and Sec7 domain containing 4	TIC|EFA6B	2q13	NM_012455	gene with protein product	12082148	ENSG00000125637
HGNC:25244	CCDC39	coiled-coil domain containing 39	DKFZp434A128	3q26.33	NM_181426	gene with protein product	12477932	ENSG00000145075
HGNC:30713	ADAD1	adenosine deaminase domain containing 1 (testis-specific)	Tenr	4q27	NM_001159285	gene with protein product	7543294, 9541871	ENSG00000164113
HGNC:11782	TH	tyrosine hydroxylase	DYT5b	11p15.5	NM_000360	gene with protein product	NA	ENSG00000180176
HGNC:29682	GFM2	G elongation factor, mitochondrial 2	EFG2|FLJ21661	5q13	NM_170681	gene with protein product	11735030	ENSG00000164347
HGNC:20127	C14orf80	chromosome 14 open reading frame 80	NA	14	NM_001134875	gene with protein product	NA	ENSG00000185347
HGNC:30260	PNPO	pyridoxamine 5'-phosphate oxidase	PDXPO	17q21.32	NM_018129	gene with protein product	9601034, 15182361	ENSG00000108439
HGNC:33154	ELFN1	extracellular leucine-rich repeat and fibronectin type III domain containing 1	NA	7p22.3	NM_001128636	gene with protein product	NA	ENSG00000225968
HGNC:1818	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	CD66c	19q13.1-q13.2	NM_002483	gene with protein product	NA	ENSG00000086548
HGNC:30213	ATP13A2	ATPase type 13A2	HSA9947	1p36	NM_001141973	gene with protein product	15381061, 16964263	ENSG00000159363
HGNC:15983	WNT3A	wingless-type MMTV integration site family, member 3A	NA	1q42	NM_033131	gene with protein product	11414706	ENSG00000154342
HGNC:29182	CEP164	centrosomal protein 164kDa	KIAA1052	11q23.3	NM_014956	gene with protein product	10470851, 14654843	ENSG00000110274
HGNC:13764	RELT	RELT tumor necrosis factor receptor	FLJ14993	11q13.2	NM_032871	gene with protein product	11313261, 16547002, 16950202, 16389068	ENSG00000054967
HGNC:13717	ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative)	NA	6p21.1-p11.2	NM_021572	gene with protein product	11027689	ENSG00000112796
HGNC:15936	NCOA6	nuclear receptor coactivator 6	AIB3|RAP250|TRBP|KIAA0181|ASC2|NRC|PRIP	20q11	NM_014071	gene with protein product	8724849, 8263591	ENSG00000198646
HGNC:13138	ZNF69	zinc finger protein 69	Cos5	19p13.2	NM_021915	gene with protein product	1639391	ENSG00000198429
HGNC:31754	TLR12P	toll-like receptor 12, pseudogene	NA	1p35.1	NG_016733	pseudogene	14993594	NA
HGNC:33686	MIR941-3	microRNA 941-3	hsa-mir-941-3	20q13.33	NR_030639	RNA, micro	NA	NA
HGNC:8824	SERPINF1	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	PIG35|EPC-1	17p13.1	NM_002615	gene with protein product	8434014	ENSG00000132386
HGNC:6556	LETM1	leucine zipper-EF-hand containing transmembrane protein 1	NA	4p16.3	NM_012318	gene with protein product	10486213	ENSG00000168924
HGNC:20054	PEBP1P1	phosphatidylethanolamine binding protein 1 pseudogene 1	NA	14	NG_002604	pseudogene	NA	NA
HGNC:20680	TELAB1	telangiectasia, benign 1	NA	5q14	NA	phenotype only	14627680	NA
HGNC:7	A2M	alpha-2-macroglobulin	FWP007|S863-7|CPAMD5	12p13.31	NM_000014	gene with protein product	NA	ENSG00000175899
